ChEMBL_ID,pKi,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,HeavyAtoms,NumRings,NumSaturatedRings,NumAliphaticRings,MolMR,NumCarbons,NumNitrogens,NumOxygens,NumFluorines,NumHalogens
CHEMBL439030,6.13,409.26700000000017,3.7081200000000027,30.49,1,3,4,2,22,3,1,1,96.31670000000004,18,1,2,0,4
CHEMBL440272,7.61,383.482,5.476200000000006,12.47,0,2,6,2,28,5,3,3,104.99000000000004,24,1,1,2,4
CHEMBL443649,7.44,597.7500000000002,7.418000000000009,36.02,0,5,14,4,44,5,1,1,171.9579999999995,37,3,2,2,7
CHEMBL444690,7.29,611.777,7.808100000000009,36.02,0,5,15,4,45,5,1,1,176.57499999999945,38,3,2,2,7
CHEMBL487088,7.47,535.6790000000001,6.065200000000007,36.02,0,5,13,3,39,4,1,1,152.23699999999974,32,3,2,2,7
CHEMBL489601,8.49,519.6360000000002,5.451100000000006,36.02,0,5,12,3,38,4,1,1,147.52599999999978,31,3,2,2,7
CHEMBL490424,7.82,521.6520000000003,5.675100000000006,36.02,0,5,12,3,38,4,1,1,147.6199999999998,31,3,2,2,7
CHEMBL495520,8.27,465.5880000000001,4.714200000000004,29.950000000000003,1,4,10,3,34,4,1,1,133.45579999999998,28,3,1,2,6
CHEMBL495726,7.66,507.6250000000002,5.2850000000000055,36.02,0,5,11,3,37,4,1,1,143.00299999999984,30,3,2,2,7
CHEMBL496753,8.17,519.6360000000002,5.971200000000007,36.02,0,5,12,3,38,4,1,1,147.39199999999977,31,3,2,2,7
CHEMBL497586,8.25,521.6520000000002,6.195200000000007,36.02,0,5,12,3,38,4,1,1,147.4859999999998,31,3,2,2,7
CHEMBL498600,8.37,507.62500000000017,5.805100000000006,36.02,0,5,11,3,37,4,1,1,142.86899999999983,30,3,2,2,7
CHEMBL502790,8.03,535.6790000000002,6.441200000000007,36.02,0,5,12,3,39,4,1,1,152.03299999999973,32,3,2,2,7
CHEMBL505059,7.83,583.7230000000002,7.027900000000008,36.02,0,5,13,4,43,5,1,1,167.3409999999995,36,3,2,2,7
CHEMBL507255,8.16,583.7230000000002,6.507800000000008,36.02,0,5,13,4,43,5,1,1,167.47499999999957,36,3,2,2,7
CHEMBL521582,5.44,355.52200000000005,4.981200000000006,21.700000000000003,0,3,12,2,26,2,0,0,109.36100000000006,23,1,2,0,3
CHEMBL534500,5.76,267.7559999999999,2.7387000000000006,38.33,1,3,3,1,18,2,1,1,71.85070000000005,14,1,2,0,4
CHEMBL534501,8.38,312.284,5.361400000000005,3.24,0,1,2,1,20,3,2,2,86.81300000000006,17,1,0,0,3
CHEMBL534502,5.2,175.275,2.3712,12.03,1,1,2,1,13,2,1,1,55.78770000000004,12,1,0,0,1
CHEMBL537206,7.12,215.33999999999997,3.4185000000000025,3.24,0,1,1,1,16,3,2,2,67.62900000000005,15,1,0,0,1
CHEMBL537209,6.39,205.30099999999993,1.9045999999999998,32.26,2,2,3,1,15,2,1,1,61.91050000000004,13,1,1,0,2
CHEMBL537429,6.32,249.78499999999988,4.071900000000003,3.24,0,1,1,1,17,3,2,2,72.63900000000004,15,1,0,0,2
CHEMBL537430,5.12,217.35600000000002,3.664500000000003,3.24,0,1,3,1,16,2,1,1,69.74300000000005,15,1,0,0,1
CHEMBL537431,7.05,219.32799999999995,2.5587,21.259999999999998,1,2,4,1,16,2,1,1,66.70070000000004,14,1,1,0,2
CHEMBL537652,7.45,300.22900000000004,3.696100000000003,23.47,1,2,1,1,19,3,2,2,79.03880000000005,15,1,1,0,4
CHEMBL537653,8.41,274.191,3.211400000000001,32.26,2,2,3,1,17,2,1,1,71.93050000000004,13,1,1,0,4
CHEMBL537654,6.44,302.2010000000001,3.392100000000002,38.33,1,3,3,1,19,2,1,1,76.86070000000004,14,1,2,0,5
CHEMBL537875,7.56,243.39400000000003,4.054600000000003,3.24,0,1,2,1,18,3,2,2,76.79300000000006,17,1,0,0,1
CHEMBL538405,9.14,460.56800000000015,6.854400000000006,28.259999999999998,1,2,8,4,34,5,1,1,131.5117,29,2,1,2,5
